beats_name,output_string
peep_monologue,"$peep1$ takes this moment to monologue, revealing how the three instruments ($instr1$, $instr2$, and $instr3$) will help them accomplish these goals."
instr_becomes_haunted,"Soon, as a result of $peep1$ the $instr1$ becomes haunted!"
instr_starts_floating,"Suddenly, without warning, the $instr1$ begins floating around."
item_chooses_peep,"In a quiet room, $peep1$ suddenly sees the radiating $instr1$ in front of their face."
peep_accept_peep,"Overwhelmed with emotions, $peep1$ decides to accept the heartfelt confession from $peep2$."
peep_addiction,"Feeling sad and depressed $peep1$ decides to meet their dealer, $peep2$, to get a small baggie of $instr1$."
peep_assassinate_pee,$peep1$ sneaks up on $peep2$ and attaches a $instr1$ to their gun.
peep_attacks_peep,"Without any warning, $peep1$ runs at $peep2$ with a $instr1$ and isn't slowing down!"
peep_attends_festival,$peep1$ decides to go to the $instr1$ festival.
peep_becomes_rich,"All of a sudden, $peep1$ sees $instr1$ and takes it. $peep1$ feels incredibly lucky about their newfound wealth!"
peep_betray_peep,"Without warning, $peep1$ moves away from $peep2$ and grabs a $instr1$ before rushing at $peep2$!"
peep_build_shelter,$peep1$ is forcibly transported deep into the woods with only a $instr1$ and they have to build a shelter if they want to survive the night.
peep_buys_pet,"Seeing a pet shop, $peep1$ enters the store and purchases a $instr1$ with some of their money."
peep_calls_peep,"Wanting to make plans for tonight, $peep1$ decides to grab their $instr1$ and call his group of friends."
peep_cleans,"Seeing the mess in the room, $peep1$ grabs a $instr1$ and starts cleaning."
peep_confesses_peep,"Unable to contain their feelings for the other person, $peep1$ decides to spill out everything in their heart and confess to $peep2$."
peep_confession,"After witnessing their plan fall apart, $peep1$ confesses on all the wrongdoings that they have commited."
peep_distract_peep,"Trying to run away, $peep1$ sees $peep2$ right behind them and decides to throw a $instr1$."
peep_eats_food,"Feeling hungry, $peep1$ grabs their $instr1$ and begins eating it. Yummy!"
peep_explores,"Feeling famished, $peep1$ reluctantly scouts around the area for some resources."
peep_finds_beast,"While exploring and minding their own business, $peep1$ suddenly sees a $instr1$ right in front of them!"
peep_get_coffee,"Feeling tired, $peep1$ decides to go to the nearby shop for a cup of $instr1$."
